task1-tag, 16, 16, ring, 0, 0.186
task1-tag, 16, 16, ring, 1, 0.160
task1-tag, 16, 16, ring, 2, 0.154
task1-tag, 16, 16, ring, 3, 0.139
task1-tag, 16, 16, ring, 4, 0.131
task1-tag, 16, 16, ring, 5, 0.126
task1-tag, 16, 16, ring, 6, 0.117
task1-tag, 16, 16, ring, 7, 0.108
task1-tag, 16, 16, ring, 8, 0.099
task1-tag, 16, 16, ring, 9, 0.090
task1-tag, 16, 16, ring, 10, 0.083
task1-tag, 16, 16, ring, 11, 0.073
task1-tag, 16, 16, ring, 12, 0.065
task1-tag, 16, 16, ring, 13, 0.054
task1-tag, 16, 16, ring, 14, 0.044
task1-tag, 16, 16, ring, 15, 0.045
task1-tag, 16, 16, recur_hd, 0, 0.152
task1-tag, 16, 16, recur_hd, 1, 0.123
task1-tag, 16, 16, recur_hd, 2, 0.116
task1-tag, 16, 16, recur_hd, 3, 0.113
task1-tag, 16, 16, recur_hd, 4, 0.105
task1-tag, 16, 16, recur_hd, 5, 0.100
task1-tag, 16, 16, recur_hd, 6, 0.094
task1-tag, 16, 16, recur_hd, 7, 0.082
task1-tag, 16, 16, recur_hd, 8, 0.073
task1-tag, 16, 16, recur_hd, 9, 0.068
task1-tag, 16, 16, recur_hd, 10, 0.058
task1-tag, 16, 16, recur_hd, 11, 0.050
task1-tag, 16, 16, recur_hd, 12, 0.040
task1-tag, 16, 16, recur_hd, 13, 0.028
task1-tag, 16, 16, recur_hd, 14, 0.018
task1-tag, 16, 16, recur_hd, 15, 0.018
